Optimizer,Epoch,Learning Rate,Accuracy
SGD,43,0.0007000000000000001,0.7073000073432922
SGD,44,0.0007000000000000001,0.7105000019073486
SGD,45,0.0007000000000000001,0.713699996471405
SGD,46,0.0007000000000000001,0.713100016117096
SGD,47,0.0007000000000000001,0.717199981212616
SGD,48,0.0007000000000000001,0.7163000106811523
SGD,49,0.0007000000000000001,0.7160000205039978
SGD,50,0.0007000000000000001,0.7202000021934509
SGD,51,0.0007000000000000001,0.7211999893188477
SGD,52,0.0007000000000000001,0.7214999794960022
SGD,53,0.0007000000000000001,0.7235000133514404
SGD,54,0.0007000000000000001,0.7239999771118164
SGD,55,0.0007000000000000001,0.722000002861023
SGD,56,0.0007000000000000001,0.724399983882904
SGD,57,0.0007000000000000001,0.7239000201225281
SGD,58,0.0007000000000000001,0.7258999943733215
SGD,59,0.0007000000000000001,0.7282000184059143
SGD,60,0.0007000000000000001,0.7257999777793884
SGD,61,0.0007000000000000001,0.7261999845504761
SGD,62,0.0007000000000000001,0.7297000288963318
SGD,63,0.0007000000000000001,0.7318999767303467
SGD,64,0.0007000000000000001,0.7343000173568726
SGD,65,0.0007000000000000001,0.7332000136375427
SGD,66,0.0007000000000000001,0.7350999712944031
SGD,67,0.0007000000000000001,0.732699990272522
SGD,68,0.0007000000000000001,0.7383000254631042
SGD,69,0.0007000000000000001,0.7373999953269958
SGD,70,0.0007000000000000001,0.7394000291824341
SGD,71,0.0007000000000000001,0.7376999855041504
SGD,72,0.0007000000000000001,0.7384999990463257
SGD,73,0.0007000000000000001,0.739799976348877
SGD,74,0.0007000000000000001,0.741100013256073
SGD,75,0.0007000000000000001,0.739799976348877
SGD,76,0.0007000000000000001,0.7415000200271606
SGD,77,0.0007000000000000001,0.7418000102043152
SGD,78,0.0007000000000000001,0.7423999905586243
SGD,79,0.0007000000000000001,0.7419999837875366
SGD,80,0.0007000000000000001,0.7421000003814697
SGD,1,0.0008,0.10679999738931656
SGD,2,0.0008,0.12800000607967377
SGD,3,0.0008,0.17319999635219574
SGD,4,0.0008,0.20569999516010284
SGD,5,0.0008,0.2824999988079071
SGD,6,0.0008,0.34380000829696655
SGD,7,0.0008,0.3714999854564667
SGD,8,0.0008,0.4065000116825104
SGD,9,0.0008,0.42649999260902405
SGD,10,0.0008,0.47380000352859497
SGD,11,0.0008,0.5008999705314636
SGD,12,0.0008,0.5216000080108643
SGD,13,0.0008,0.531499981880188
SGD,14,0.0008,0.5426999926567078
SGD,15,0.0008,0.5509999990463257
SGD,16,0.0008,0.5672000050544739
SGD,17,0.0008,0.5713000297546387
SGD,18,0.0008,0.5813000202178955
SGD,19,0.0008,0.6004999876022339
SGD,20,0.0008,0.6026999950408936
SGD,21,0.0008,0.6139000058174133
SGD,22,0.0008,0.6226999759674072
SGD,23,0.0008,0.6337000131607056
SGD,24,0.0008,0.6380000114440918
SGD,25,0.0008,0.6360999941825867
SGD,26,0.0008,0.6481000185012817
SGD,27,0.0008,0.6467999815940857
SGD,28,0.0008,0.6488000154495239
SGD,29,0.0008,0.6585999727249146
SGD,30,0.0008,0.6588000059127808
SGD,31,0.0008,0.6610000133514404
SGD,32,0.0008,0.6639999747276306
SGD,33,0.0008,0.6676999926567078
SGD,34,0.0008,0.6748999953269958
SGD,35,0.0008,0.6782000064849854
SGD,36,0.0008,0.6759999990463257
SGD,37,0.0008,0.6794999837875366
SGD,38,0.0008,0.6819999814033508
SGD,39,0.0008,0.6790000200271606
SGD,40,0.0008,0.6797999739646912
SGD,41,0.0008,0.6804999709129333
SGD,42,0.0008,0.6833000183105469
SGD,43,0.0008,0.6855000257492065
SGD,44,0.0008,0.6880999803543091
SGD,45,0.0008,0.6890000104904175
SGD,46,0.0008,0.694100022315979
SGD,47,0.0008,0.6945000290870667
SGD,48,0.0008,0.6972000002861023
SGD,49,0.0008,0.7003999948501587
SGD,50,0.0008,0.6991999745368958
SGD,51,0.0008,0.7017999887466431
SGD,52,0.0008,0.6995999813079834
SGD,53,0.0008,0.6998999714851379
SGD,54,0.0008,0.7016000151634216
SGD,55,0.0008,0.7067999839782715
SGD,56,0.0008,0.7052000164985657
SGD,57,0.0008,0.7088000178337097
SGD,58,0.0008,0.7085000276565552
SGD,59,0.0008,0.7095000147819519
SGD,60,0.0008,0.7102000117301941
SGD,61,0.0008,0.7095999717712402
SGD,62,0.0008,0.7121999859809875
SGD,63,0.0008,0.7110999822616577
SGD,64,0.0008,0.7124000191688538
SGD,65,0.0008,0.7142000198364258
SGD,66,0.0008,0.7113000154495239
SGD,67,0.0008,0.7153000235557556
SGD,68,0.0008,0.715399980545044
